message,label
"This package contains illegal drugs.",1
"I will meet you at the coffee shop.",0
"Let's discuss the shipment details.",1
"This is a normal conversation about work.",0
"Meet me at the usual place for the delivery.",1
"Can you send me the report by 5 PM?",0
"Don't forget to bring the cash for the order.",1
"Looking forward to our meeting tomorrow.",0
"Got the goods ready for pickup, let me know when you're free.",1
"Let’s discuss the project tomorrow at the office.",0
"Ready to finalize the deal? I have the product with me.",1
"Hope you’re enjoying your weekend, let's catch up soon.",0
"I’ll get the stuff delivered to you, just tell me when.",1
"I have the product you asked for, meet me later.",1
"Can we talk about the shipment schedule later today?",1
"I need to finish a few tasks, let's talk later.",0
"Let me know when you can pick up the package.",1
"Everything is ready, just confirm the time and place.",1
"Let’s discuss the next shipment next week.",1
"I saw a new movie last night, it was great.",0
"Let's make the transfer happen today. I have the money.",1
"Let’s catch up next weekend. Been a while since we met.",0
"Don’t forget to bring the cash tomorrow.",1
"Can you help me with a quick task? I’ll owe you one.",0
"I heard there's a new supplier in the market. Let's explore it.",1
"Let’s meet to go over the details of the order.",1
"I’ve been busy with work lately, hope all is well with you.",0
"Are we still on for the deal later today?",1
"Can you send me the report as soon as possible?",0
"Looking forward to receiving the shipment this week.",1
"Do you want to meet for coffee and talk about business?",0
"I’ll send you the package as soon as I get the confirmation.",1
"Just saw a great new movie, highly recommend it.",0
"We need to finalize the product details and pricing.",1
"I’ve got some great recommendations for you. Let’s meet soon.",0
"Looking forward to our meeting, we have a lot to cover.",0
"Ready to close the deal? I have everything prepared.",1
"Can you confirm the delivery address again?",1
"Do you still need that product I mentioned?",1
"Just finished a big project, now I can relax for a bit.",0
"Meet me at 5 PM tomorrow to pick up the package.",1
"How’s the weather in your area today?",0
"I’m excited for our business discussion tonight.",0
"Do you have the stuff ready for tomorrow’s meeting?",1
"Looking forward to seeing the new tech gadgets you got.",0
"Let’s make sure everything is ready for the shipment tomorrow.",1
"I have the documents you requested, I’ll send them to you now.",0
"Got a great deal on some new tech equipment.",0
"Don’t forget to bring the payment when we meet tomorrow.",1
"Everything is set. Let’s meet at the usual place.",1
"I’ll have the cash ready for the exchange.",1
"Can you send me the payment by tomorrow?",1
"Looking forward to meeting you, it’s been a while.",0
"I’ll make sure to have everything in place for the meeting.",1
"I’m planning on getting some new furniture for the office.",0
"Can you confirm the price and delivery time?",1
"Let’s meet later and discuss everything.",1
"Just finished a big lunch, now back to work.",0
"Do you need anything else before the meeting?",0
"Can you meet at 6 PM to pick up the package?",1
"I’m heading to the office now, let’s catch up later.",0
"Everything is in order for the delivery tomorrow.",1
"How’s your project going? Anything new?",0
"We need to make sure the transaction goes smoothly.",1
"Let me know when you’re free to meet up later.",0
"Let’s confirm the time and location for the handover.",1
"Can we finalize the details by the end of the day?",1
"I’m looking forward to the product review later.",0
"Can you meet me tomorrow at 3 PM? I’ll bring everything.",1
"How’s your family doing? All good?",0
"Ready to make the transfer happen? Let me know.",1
"Got a new job offer, feeling good about it!",0
"Can we make the payment transfer today?",1
"Got some amazing new gear for the business.",0
"Looking forward to the next big shipment, we need to stay ahead.",1
"How’s your day going so far?",0
"Let me know when you have the cash ready.",1
"Are we all set for the meeting tomorrow?",1
"Can we meet to finalize the details of the deal?",1
"Everything is good, just finishing up some work.",0
"Do you need anything before I head out?",0
"Looking forward to seeing you tomorrow for the meeting.",0
"Can you get the product delivered by this afternoon?",1
"I’ve already arranged the shipment to go out tomorrow.",1
"Do you need me to bring anything for the delivery?",1
"We need to make sure everything is secure for the handoff.",1
"Are you still on for the usual place? I have the package.",1
"I’ll make sure everything is set for the delivery tomorrow.",1
"Can you confirm the time for the exchange?",1
"I’m looking forward to the next shipment, it’s going to be big.",1
"Everything is ready for the transaction later today.",1
"We need to finalize the money transfer before the meeting.",1
"Can you send me the location for the delivery?",1
"Got the product ready, just waiting for the payment.",1
"Don’t forget to bring the cash when you pick up the package.",1
"Let's meet later to discuss the new deal.",1
"I’ll send you the details once I get the confirmation.",1
"Are we still on for the pickup tomorrow?",1
"Let me know when you’re available to meet.",0
"Everything’s in place for the meeting tomorrow.",1
"Just waiting for the final confirmation on the order.",1
"How’s the product looking? Should be ready for pickup soon.",1
"Let me know when the money is ready for the deal.",1
"Looking forward to the next big shipment, things are heating up.",1
"Do you have the confirmation number for the order?",1
"Everything is good, just need to confirm the payment details.",1
"How’s your day going? Anything interesting happening?",0
"I’ll be at the usual location in an hour for the exchange.",1
"Make sure to bring the full payment with you when we meet.",1
"We’ve got everything prepared for the shipment. Just waiting on the go-ahead.",1
"Let me know if you need me to bring anything extra for the delivery.",1
"Let me know when the product is ready for pickup.",1
"I’ll get everything arranged for the delivery today.",1
"Let’s meet later to finalize the deal, I have everything ready.",1
"I’ll be there by 5 PM to drop off the product.",1
"Let’s confirm the exchange location and time today.",1
"Are you ready to make the deal? The product is ready for pickup.",1
"I’ll send over the documents when I get a chance.",0
"How's the new shipment going?",1
"We need to finalize the details of the shipment today.",1
"Can we meet to discuss the delivery details?",1
"I’ll meet you tomorrow with the goods. Let me know when you’re free.",1
"Do you have the cash ready for tomorrow?",1
"Everything is in place for the handoff, just waiting on you.",1
"Can we finalize the deal today? I have the product.",1
"Everything is ready for the shipment, just confirm the time.",1
"Can you send me the confirmation for tomorrow’s pickup?",1
"Let me know when you can meet me for the handover.",1
"I’ve arranged the delivery for tomorrow. Just need the confirmation.",1
"I have the product ready, just waiting for you to pick it up.",1
"Let's meet at the usual place, I’ll bring the package.",1
"I have some new merchandise for the upcoming shipment.",1
"Can you bring the cash with you tomorrow?",1
"I’ll get the shipment ready for you to pick up tomorrow.",1
"Everything is set for tomorrow’s handoff. Let’s confirm the time.",1
"Let’s meet later tonight to finalize the deal.",1
"Don’t forget the payment when we meet tomorrow.",1
"I’ve got the items, just need the payment to complete the deal.",1
"Can you pick up the package by 5 PM today?",1
"Looking forward to the shipment arriving soon.",1
"Are we still on for tomorrow's exchange?",1
"The product is ready for pickup, just send me the details.",1
"I’ll have the items ready when you arrive.",1
"Let me know if you want to meet for the handoff.",1
"I’ll arrange for the delivery by tomorrow afternoon.",1
"Can we finalize the deal this week? I have the merchandise.",1
"Looking forward to our usual meeting. Got everything ready.",1
"Can you confirm the pickup location? I’ll bring the package.",1
"We need to finalize the deal tomorrow. I have the cash.",1
"I’ve received the product, let me know when you can pick it up.",1
"Let’s make sure the delivery goes smoothly tomorrow.",1
"Just waiting on you to finalize the transfer for the goods.",1
"Are you free tomorrow to meet for the exchange?",1
"Do you need any more product delivered today?",1
"Let me know when you can meet for the handoff.",1
"Everything is ready, just waiting for you to confirm the time.",1
"Got the merchandise, ready for handoff.",1
"Can you bring the full payment for tomorrow?",1
"We need to make sure the exchange goes as planned.",1
"Let’s meet tomorrow to wrap up the deal.",1
"Are you ready for tomorrow’s delivery? I have everything prepared.",1
"Looking forward to our meeting, it’s been a while.",0
"How are the new projects going? Everything set?",0
"I’ll have the report ready by this afternoon.",0
"Can we reschedule the meeting for next week?",0
"Let's meet at the coffee shop, it's been a while!",0
"I'm looking forward to the weekend getaway.",0
"Just finished up some tasks at work, now I can relax.",0
"Hope everything’s going well with you.",0
"Let me know when you’re free to chat later today.",0
"Looking forward to our team-building event this weekend.",0
"I’ve got a great idea for the next project, can’t wait to share it.",0
"Let’s grab lunch tomorrow, I have a lot to catch up on.",0
"Got the report you asked for, sending it over now.",0
"Let me know when you’re free, we should catch up soon.",0
"I’ve got some new books to recommend, let’s meet soon.",0
"Everything’s on track for the meeting tomorrow.",0
"How’s everything going with the new project?",0
"Let’s meet tomorrow to discuss the new initiative.",0
"I have a new idea for the next meeting, I’ll send it over.",0
"Just completed a few tasks at work, now taking a break.",0
"Can we talk about the new collaboration opportunity?",0
"I’m planning to spend the weekend with family.",0
"Hope everything is going smoothly with your work!",0
"Just got back from the conference, learned a lot.",0
"Looking forward to catching up next weekend!",0
"Can you send me the latest report?",0
"Let’s meet tomorrow to go over the next steps.",0
"Let me know if you want to discuss anything later.",0
"How’s your new project coming along?",0
"Let’s set up a call to discuss the new development.",0
"I’ve got some great suggestions for our next team meeting.",0
"I’ll send over the draft of the proposal shortly.",0
"Looking forward to the team event next week.",0
"Can you confirm the schedule for tomorrow’s meeting?",0
"Let’s discuss the budget proposal later this week.",0
"Looking forward to meeting you for the coffee chat.",0
"Got a new project started at work, excited about it!",0
"Can we push the meeting to next week?",0
"I’m meeting a friend later this afternoon, let’s chat soon.",0
"Hope you had a great weekend!",0
"Just saw a new restaurant, we should try it next weekend.",0
"Looking forward to the family reunion this summer.",0
"Let’s meet for a quick brainstorming session tomorrow.",0
"Can you share the report by the end of the day?",0
"I’ll meet you at the usual spot later today.",0
"Let’s finalize the details for the conference next week.",0
"Do you have any plans for the weekend?",0
"I’ll send the updated presentation later this afternoon.",0
"Looking forward to discussing the new project with you.",0
"Let’s set up a meeting to finalize the details.",0
"Hope you had a productive day!",0
"Let me know when you're free to discuss the new proposal.",0
"Looking forward to catching up on our progress next week.",0
"Do you need any help with the report? I’ll be free after lunch.",0
"Let’s make sure everything’s ready for the meeting tomorrow.",0
"Got a few ideas for the new project, let’s chat later.",0
"Let me know when you have time to talk about the new strategy.",0
"I’ll be in the office tomorrow for the meeting, see you there.",0
"The package is ready for delivery. Where should I send it?",1
"Please keep this between us. The deal is confidential.",1
"Meet me at the back entrance at 8 PM.",1
"I’ve hidden the stuff in the box you asked for.",1
"The payment needs to be made in cash only.",1
"Let me know once you have the cash ready for exchange.",1
"I’ll be waiting at the alley behind the mall.",1
"The delivery needs to be quick and discreet.",1
"Don’t mention this to anyone, just meet me directly.",1
"The stash is secured. Awaiting further instructions.",1
"I need you to confirm the package contents before delivery.",1
"Do not contact me directly. Use the other number.",1
"The goods have arrived. Let’s finalize the payment.",1
"I need an update on the shipment status urgently.",1
"The deal is set for midnight. Ensure no one else is involved.",1
"The codeword is 'midnight.' Don’t forget it.",1
"Everything is packed and ready. Awaiting confirmation.",1
"Ensure there’s no tracking or CCTV where we meet.",1
"The transaction needs to be completed within the hour.",1
"Dispose of any evidence after delivery.",1
"Are you sure the location is secure for the exchange?",1
"Leave the package at the drop point and text me.",1
"I have an untraceable phone for these deals.",1
"Make sure the cops don’t find out about this.",1
"The shipment contains the usual stuff, nothing extra.",1
"I’ll send someone else to pick up the delivery.",1
"Use a disguised bag for the handoff, just in case.",1
"The route is clear. Proceed with caution.",1
"I’ve arranged the cash in small bills as requested.",1
"Hide the package in the locker and send me the code.",1
"We need to avoid using names in our conversations.",1
"The pickup point has been changed. I’ll text you the new location.",1
"I’m taking extra precautions to avoid being followed.",1
"The payment will be made in installments. Agreed?",1
"The package has been split into smaller parcels.",1
"Dispose of the burner phone immediately after the deal.",1
"The buyer is insisting on seeing the product first.",1
"Keep an eye out for any suspicious activity during the handoff.",1
"The code to open the locker is 4529.",1
"The deal must go down without attracting attention.",1
"I’ll be wearing a black hoodie at the meeting spot.",1
"Only contact me through the encrypted app.",1
"The money needs to be in an unmarked envelope.",1
"We’ll need to change locations if anything looks risky.",1
"Send me a picture of the stash before delivery.",1
"The product has been stored safely. Awaiting further orders.",1
"Ensure no one follows you after the transaction.",1
"Let’s keep this low-profile. No unnecessary risks.",1
"I’ve left the package in a safe spot. Collect it by 6 PM.",1
"Use the codeword 'cargo' when confirming the delivery.",1
"Let me know if you spot any surveillance at the meeting point.",1
"Can we grab dinner tomorrow? Been ages since we caught up!",0
"Let’s plan the vacation details when you’re free.",0
"Can you pick up the groceries on your way back?",0
"Had a long day at work. Looking forward to some rest.",0
"Did you see the game last night? What a match!",0
"Let’s meet at the park this Sunday for a picnic.",0
"Do you want to join the movie night at my place?",0
"Got a great recipe to share with you. Let’s cook together!",0
"Can you help me move some furniture this weekend?",0
"I’ll call you after I finish this meeting.",0
"Let’s discuss the project updates in tomorrow’s call.",0
"Looking forward to catching up at the reunion!",0
"Can you send me the file before noon?",0
"I’ll be traveling next week. Let’s meet after that.",0
"How’s your family doing? Hope all is well.",0
"I found a great book. I think you’ll love it!",0
"Let me know when you’re free to chat.",0
"Got a promotion at work! Celebrating this weekend.",0
"Can we reschedule the meeting for next Monday?",0
"Had a wonderful weekend. How about you?",0
"Let’s grab coffee tomorrow and talk about the new ideas.",0
"Can you share the presentation before the meeting?",0
"I’ll be at the gym later if you want to join.",0
"Let’s visit the museum this Saturday.",0
"I just bought a new gadget. Can’t wait to show you!",0
"Can you join the team dinner next Friday?",0
"Do you want to carpool to the office tomorrow?",0
"I’ve got tickets for the concert. Let me know if you’re in!",0
"Let’s organize a small get-together next weekend.",0
"How about a beach trip this summer?",0
"Got an exciting project at work. Let’s brainstorm ideas.",0
"Can we talk about the new app you’re working on?",0
"I’ll be in your neighborhood tomorrow. Let’s meet!",0
"Looking forward to the festival next month.",0
"Had a lovely dinner with friends last night.",0
"I’m sending the documents you asked for shortly.",0
"Do you need help with the decorations for the party?",0
"Let’s plan a barbecue for the weekend.",0
"How’s the new house? Settling in well?",0
"I’ll be offline for a few hours. Call me if urgent.",0
"Got some new plants for the garden. Loving it!",0
"Can we start the meeting a bit earlier tomorrow?",0
"How was the holiday trip? Share some pictures!",0
"Let’s meet at the coffee shop after work.",0
"I’ll be working late tonight. Let’s chat tomorrow.",0
"Do you have a recommendation for a good movie?",0
"Looking forward to hearing about your new project.",0
"Got a new hobby—learning photography!",0
"Let’s catch up on the weekend. Been a while!",0
"I’ll share the draft for the proposal tomorrow.",0
"Make sure the package isn’t tampered with before delivery.",1
"The money should be exchanged at the meeting point only.",1
"The transaction must remain anonymous. No names.",1
"Meet me behind the warehouse after dark.",1
"The stuff is packed tightly. You’ll recognize it easily.",1
"Use a burner phone for all communications from now on.",1
"Ensure the payment is split into smaller denominations.",1
"The deal is set for 11 PM. No delays.",1
"Confirm the contents before handing over the package.",1
"I need complete secrecy for this transaction.",1
"The route you’re taking must avoid all checkpoints.",1
"Don’t mention the shipment over the phone. Just text.",1
"I’ll leave the package in a black duffel bag.",1
"The exchange needs to happen tonight. No exceptions.",1
"I’ve encrypted all details. Check your secure email.",1
"Don’t let anyone know about the pickup location.",1
"The cash must be handed over discreetly.",1
"I’ll meet you near the abandoned building.",1
"Have you disposed of the evidence from last time?",1
"Ensure there’s no trace of our conversation.",1
"Delete these texts after you’ve read them.",1
"The stash is hidden under the bench at the park.",1
"I’m sending someone else to collect the goods.",1
"Carry the money in an unmarked bag.",1
"Let’s finalize the details when we meet in person.",1
"Make sure the location is clear before you arrive.",1
"Keep the product in a waterproof bag.",1
"I’ll confirm the drop-off spot an hour before.",1
"Do not discuss this in public under any circumstances.",1
"The pickup vehicle will arrive at 3 AM.",1
"Use a disguise when making the drop.",1
"I’ll give you the exact coordinates later.",1
"Are you sure the area is not under surveillance?",1
"The package has been sealed. No one should open it.",1
"Let’s use the codeword 'eagle' for this delivery.",1
"The product must be hidden in plain sight.",1
"I’ll leave the instructions in a coded message.",1
"Make sure you’re not followed after the handoff.",1
"Keep the delivery bag locked at all times.",1
"Have a backup plan in case the deal gets compromised.",1
"Don’t park too close to the exchange point.",1
"The buyer has requested extra security for the transaction.",1
"Confirm the time of delivery once you’ve reached.",1
"Meet me by the old bridge at 10 PM.",1
"I’ll text you the details of the cash drop later.",1
"The package will be left near the third pillar.",1
"Do not make eye contact with anyone during the handoff.",1
"The product is marked with a red sticker.",1
"Ensure you have the payment ready before I arrive.",1
"The meeting spot has been changed. New location soon.",1
"Can you help me with my project? I’m stuck.",0
"Let’s plan a hiking trip this weekend!",0
"I’ll email you the presentation by evening.",0
"Had a relaxing weekend at the beach. How about you?",0
"Can we discuss the budget for next month’s event?",0
"Let’s brainstorm ideas for the new campaign.",0
"Do you want to grab a quick coffee after work?",0
"I’m planning to repaint my house. Any color suggestions?",0
"Had a lovely chat with my neighbor about gardening.",0
"Can you recommend a good book to read?",0
"Let’s organize a bake sale for the community center.",0
"I’ll call you after I pick up the kids from school.",0
"Looking forward to the concert next Saturday!",0
"Do you need help setting up the new software?",0
"I’ve enrolled in a yoga class. It’s so refreshing!",0
"Can we reschedule the meeting to a later time?",0
"I’ll be out of town for the weekend. Let’s catch up later.",0
"Had a great dinner with family last night.",0
"Looking forward to our group’s next road trip!",0
"Do you want to join me for the morning run tomorrow?",0
"Let’s plan a barbecue at my place this Sunday.",0
"Can you share the itinerary for the upcoming trip?",0
"Let’s grab lunch at that new restaurant downtown.",0
"I’ve started learning to play the guitar. It’s fun!",0
"Had a productive day at work. Feeling accomplished!",0
"I’ll send over the draft for your review by tonight.",0
"Looking forward to seeing you at the wedding!",0
"Got a new puppy at home. He’s adorable!",0
"I’ll send you the recipe for that dessert you liked.",0
"Can you proofread this document for me?",0
"Had a great chat with my mentor about career plans.",0
"Looking forward to the holiday break next week!",0
"Can you drop by my place to pick up the parcel?",0
"Let’s go to the park for a walk this evening.",0
"Had a fantastic experience at the new art gallery.",0
"Do you need help with the fundraiser event?",0
"I’m hosting a movie night. Want to join?",0
"Let’s go for a bike ride this weekend!",0
"Do you want to volunteer at the community center?",0
"I’ll be attending a workshop tomorrow. Join me?",0
"Looking forward to the marathon next month!",0
"I’m planning a surprise party for my friend. Need ideas.",0
"Can you check this report and give me feedback?",0
"Let’s have a study session before the exam.",0
"I’ve started painting as a hobby. Loving it so far!",0
"Do you want to collaborate on this new project?",0
"I’ll send you the invoice by end of the day.",0
"Can we finalize the travel plans over dinner tonight?",0
